id,state,period,SPV,UPD,TBT,MDV,BFL,OVL,DOT,WOT,DGD,BRD,RTV,OBS,SOS,DAD,PWR,FTQ,SLV
182,Sokoto,Q4 2021,61,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0
183,Taraba,Q4 2021,25,0,2,0,0,6,0,3,11,0,0,0,0,0,0,0,31
184,Yobe,Q4 2021,29,0,10,2,0,1,1,2,10,1,0,2,0,0,0,0,1
185,Zamfara,Q4 2021,22,0,2,0,0,0,0,5,1,1,0,0,0,0,0,0,1
186,Abia,Q1 2022,20,0,5,1,8,0,0,3,0,0,2,1,0,1,0,0,0
187,Adamawa,Q1 2022,75,0,2,2,0,0,0,15,1,1,2,3,0,0,0,0,0
188,Akwa Ibom,Q1 2022,12,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
189,Anambra,Q1 2022,24,0,1,0,7,0,0,8,0,0,2,3,0,0,0,1,0
190,Bauchi,Q1 2022,90,0,8,2,0,2,0,19,17,5,11,3,0,0,0,0,7
191,Bayelsa,Q1 2022,29,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0
192,Benue,Q1 2022,55,2,2,3,3,0,0,4,4,1,2,2,1,0,0,0,0
193,Borno,Q1 2022,15,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,6
194,Cross River,Q1 2022,13,0,1,0,2,0,0,1,1,0,1,2,0,0,0,0,0
195,Delta,Q1 2022,51,0,13,4,6,1,0,6,2,0,2,0,0,0,0,0,21
196,Ebonyi,Q1 2022,20,0,2,0,0,0,0,12,2,0,1,0,0,0,0,0,3
197,Edo,Q1 2022,80,0,4,2,16,0,0,9,0,0,2,1,0,0,0,0,7
198,Ekiti,Q1 2022,19,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,3
199,Enugu,Q1 2022,18,0,1,0,17,1,0,4,0,0,0,1,0,0,0,0,20
200,FCT,Q1 2022,240,0,27,3,4,0,0,4,33,0,24,3,2,2,0,1,65
201,Gombe,Q1 2022,53,0,4,3,0,0,2,9,7,2,3,0,0,0,0,0,14
202,Imo,Q1 2022,5,0,3,0,7,0,0,1,1,0,0,0,0,0,0,0,10
203,Jigawa,Q1 2022,168,1,13,0,0,11,0,6,2,0,3,0,0,0,0,0,0
204,Kaduna,Q1 2022,110,0,13,2,1,1,1,15,19,2,13,1,0,0,0,4,0
205,Kano,Q1 2022,80,0,5,1,2,2,0,6,7,0,5,3,0,0,0,1,11
206,Katsina,Q1 2022,10,0,2,0,0,2,0,0,2,0,0,0,0,0,0,0,2
207,Kebbi,Q1 2022,57,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
208,Kogi,Q1 2022,132,1,9,5,13,2,0,20,11,0,6,2,10,0,0,1,2
209,Kwara,Q1 2022,109,1,10,4,5,0,0,7,4,0,2,0,0,0,0,0,3
210,Lagos,Q1 2022,88,0,9,9,34,0,0,6,13,0,14,0,0,3,0,6,0
211,Nasarawa,Q1 2022,183,0,10,6,6,3,0,18,27,0,17,5,0,0,0,0,44
212,Niger,Q1 2022,124,0,8,0,2,2,0,22,1,2,3,1,0,0,0,21,4
213,Ogun,Q1 2022,260,0,7,5,7,2,0,16,7,0,18,0,1,2,0,0,4
214,Ondo,Q1 2022,95,0,11,3,8,2,0,9,22,0,7,0,0,0,0,0,0
215,Osun,Q1 2022,75,0,18,6,4,1,1,13,2,1,15,0,0,0,0,0,1
216,Oyo,Q1 2022,124,0,14,5,12,2,0,14,15,0,10,1,0,0,0,4,0
217,Plateau,Q1 2022,26,0,0,2,18,1,0,8,6,0,7,1,0,1,0,0,1
218,Rivers,Q1 2022,20,0,4,1,3,0,0,2,3,0,4,0,0,0,0,0,0
219,Sokoto,Q1 2022,19,0,3,0,1,0,1,2,1,0,1,0,0,0,0,0,0
220,Taraba,Q1 2022,21,0,5,0,0,3,0,12,16,0,1,0,0,0,0,3,13
221,Yobe,Q1 2022,21,0,5,0,0,1,0,3,3,0,4,0,0,0,0,0,0
222,Zamfara,Q1 2022,20,0,0,0,0,1,0,8,0,0,0,0,0,0,0,0,2
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,Q4 2020,Q1 2021,Q2 2021,,,,,,,,,,,,
,,,,CAUSATIVE FACTORS,CODE,CODE,CODE,,,,,,,,,,,,
,,,,Speed Violation (SPV),SPV,SPV,SPV,,,,,,,,,,,,
,,,,Use of Phone While Driving (UPWD),UPWD,UPWD,UPWD,,,,,,,,,,,,
,,,,Tyre Burst (TBT),TBT,TBT,TBT,,,,,,,,,,,,
,,,,Mechanically Deficient Vehicle (MDV),MDV,MDV,MDV,,,,,,,,,,,,
